Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(22;30),(16;38),(10;35),(19;39),(16;37),(21;42),(16;40),(14;35),(23;40),(13;41),(20;40),(17;39),(16;37),(19;40),(18;31),(17;38),(16;31),(17;36),(12;46),(19;30),(21;32),(21;32),(24;34),(18;38),(18;27),(16;27),(10;22),(9;27),(10;33),(16;28),(18;24),(10;29),(13;26),(21;28),(9;35),(15;31),(15;30),(15;37),(13;29),(11;41),(15;36),(14;32),(16;31),(15;25),(12;29),(11;30),(12;36),(13;24),(13;40),(17;25),(19;27),bbaaa,24
2,(22;30),(16;38),(10;35),(19;39),(16;37),(21;42),(16;40),(14;35),(23;40),(13;41),(20;40),(17;39),(16;37),(19;40),(18;31),(17;38),(16;31),(17;36),(12;46),(19;30),(21;32),(21;32),(24;34),(18;38),(18;27),(16;27),(10;22),(9;27),(10;33),(16;28),(18;24),(10;29),(13;26),(21;28),(9;35),(15;31),(15;30),(15;37),(13;29),(11;41),(15;36),(14;32),(16;31),(15;25),(12;29),(11;30),(12;36),(13;24),(13;40),(17;25),(19;27),bbaaa,30
3,(22;30),(16;38),(10;35),(19;39),(16;37),(21;42),(16;40),(14;35),(23;40),(13;41),(20;40),(17;39),(16;37),(19;40),(18;31),(17;38),(16;31),(17;36),(12;46),(19;30),(21;32),(21;32),(24;34),(18;38),(18;27),(16;27),(10;22),(9;27),(10;33),(16;28),(18;24),(10;29),(13;26),(21;28),(9;35),(15;31),(15;30),(15;37),(13;29),(11;41),(15;36),(14;32),(16;31),(15;25),(12;29),(11;30),(12;36),(13;24),(13;40),(17;25),(19;27),bbbaa,31
4,(22;30),(16;38),(10;35),(19;39),(16;37),(21;42),(16;40),(14;35),(23;40),(13;41),(20;40),(17;39),(16;37),(19;40),(18;31),(17;38),(16;31),(17;36),(12;46),(19;30),(21;32),(21;32),(24;34),(18;38),(18;27),(16;27),(10;22),(9;27),(10;33),(16;28),(18;24),(10;29),(13;26),(21;28),(9;35),(15;31),(15;30),(15;37),(13;29),(11;41),(15;36),(14;32),(16;31),(15;25),(12;29),(11;30),(12;36),(13;24),(13;40),(17;25),(19;27),bbbaa,19
5,(9;23),(12;18),(15;18),(10;22),(15;19),(10;24),(9;17),(6;17),(10;28),(7;18),(14;25),(14;24),(11;29),(11;25),(12;20),(9;20),(15;24),(12;33),(10;20),(10;21),(10;23),(15;26),(9;26),(11;24),(13;35),(18;35),(5;15),(9;17),(9;13),(9;14),(4;16),(6;13),(10;16),(4;18),(10;19),(8;28),(10;19),(12;17),(11;17),(8;17),(10;24),(7;15),(10;18),(6;26),(6;17),(5;23),(13;20),(7;25),(7;30),(9;23),(16;30),abbab,22
6,(9;23),(12;18),(15;18),(10;22),(15;19),(10;24),(9;17),(6;17),(10;28),(7;18),(14;25),(14;24),(11;29),(11;25),(12;20),(9;20),(15;24),(12;33),(10;20),(10;21),(10;23),(15;26),(9;26),(11;24),(13;35),(18;35),(5;15),(9;17),(9;13),(9;14),(4;16),(6;13),(10;16),(4;18),(10;19),(8;28),(10;19),(12;17),(11;17),(8;17),(10;24),(7;15),(10;18),(6;26),(6;17),(5;23),(13;20),(7;25),(7;30),(9;23),(16;30),aaaaa,27
7,(9;23),(12;18),(15;18),(10;22),(15;19),(10;24),(9;17),(6;17),(10;28),(7;18),(14;25),(14;24),(11;29),(11;25),(12;20),(9;20),(15;24),(12;33),(10;20),(10;21),(10;23),(15;26),(9;26),(11;24),(13;35),(18;35),(5;15),(9;17),(9;13),(9;14),(4;16),(6;13),(10;16),(4;18),(10;19),(8;28),(10;19),(12;17),(11;17),(8;17),(10;24),(7;15),(10;18),(6;26),(6;17),(5;23),(13;20),(7;25),(7;30),(9;23),(16;30),abbab,31
8,(9;23),(12;18),(15;18),(10;22),(15;19),(10;24),(9;17),(6;17),(10;28),(7;18),(14;25),(14;24),(11;29),(11;25),(12;20),(9;20),(15;24),(12;33),(10;20),(10;21),(10;23),(15;26),(9;26),(11;24),(13;35),(18;35),(5;15),(9;17),(9;13),(9;14),(4;16),(6;13),(10;16),(4;18),(10;19),(8;28),(10;19),(12;17),(11;17),(8;17),(10;24),(7;15),(10;18),(6;26),(6;17),(5;23),(13;20),(7;25),(7;30),(9;23),(16;30),aaaaa,9
9,(5;15),(5;19),(5;10),(8;11),(9;12),(8;15),(8;12),(6;9),(9;15),(4;7),(8;14),(7;15),(7;11),(7;18),(8;15),(5;14),(7;17),(5;11),(5;12),(5;10),(6;10),(9;14),(7;14),(9;16),(12;17),(7;16),(7;11),(4;10),(6;9),(3;8),(3;6),(5;13),(4;13),(4;16),(5;12),(6;9),(5;13),(7;9),(6;14),(3;8),(5;10),(4;7),(4;10),(7;12),(4;13),(4;9),(7;12),(7;12),(6;10),(10;13),(6;12),bbbaa,9
10,(5;15),(5;19),(5;10),(8;11),(9;12),(8;15),(8;12),(6;9),(9;15),(4;7),(8;14),(7;15),(7;11),(7;18),(8;15),(5;14),(7;17),(5;11),(5;12),(5;10),(6;10),(9;14),(7;14),(9;16),(12;17),(7;16),(7;11),(4;10),(6;9),(3;8),(3;6),(5;13),(4;13),(4;16),(5;12),(6;9),(5;13),(7;9),(6;14),(3;8),(5;10),(4;7),(4;10),(7;12),(4;13),(4;9),(7;12),(7;12),(6;10),(10;13),(6;12),aaaaa,9
