Time,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,Pr_value,W51
1,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
2,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
3,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
4,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
5,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,1
6,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,1
7,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
8,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
9,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
10,(0;1),(0;2),(0;3),(0;2),(0;3),(0;3),(0;4),(0;2),(0;2),(0;2),(0;2),(0;3),(0;2),(0;1),(0;2),(0;3),(0;2),(0;2),(0;2),(0;1),(0;2),(0;2),(0;2),(0;2),(0;4),(0;3),(0;4),(0;2),(0;4),(0;2),(0;3),(0;4),(0;3),(0;5),(0;2),(0;4),(0;3),(0;3),(0;2),(0;2),(0;2),(0;3),(0;3),(0;2),(0;4),(0;2),(0;4),(0;2),(0;5),(0;4),(0;3),bbbbb,0
