,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
W0,12,8,8,13,9,4,5,9,15,23,16,4,13,15,20,31,50,41,27,14,13,9,4,37,27,15,45,35,14,47
W1,13,7,12,9,6,4,9,7,10,20,8,5,11,13,46,28,41,39,32,18,6,15,6,43,29,15,35,33,11,37
W2,11,4,9,14,14,3,4,11,11,20,16,2,10,10,48,28,41,40,46,12,10,9,5,28,34,10,34,37,13,46
W3,9,3,10,6,12,8,8,10,8,30,15,7,7,12,43,44,29,39,37,11,9,10,4,34,33,9,40,42,18,35
W4,14,8,11,10,7,7,9,7,12,21,18,5,11,14,30,30,41,40,32,8,10,18,4,41,21,10,35,32,18,36
W5,13,2,9,7,8,4,8,9,16,17,8,4,12,13,45,33,48,34,29,12,7,7,3,49,34,8,31,32,12,37
W6,15,7,8,10,10,9,3,8,13,27,11,8,19,9,44,50,45,29,29,18,11,18,6,39,43,10,48,33,16,44
W7,22,4,14,14,15,7,4,6,8,21,17,4,9,13,37,42,46,45,35,9,14,16,5,40,30,12,28,30,17,29
W8,7,4,13,14,10,7,11,11,14,25,12,6,11,14,26,50,40,37,43,13,7,12,6,42,25,11,46,44,11,27
W9,15,4,7,12,10,4,4,11,13,21,9,4,18,11,53,39,34,37,41,11,13,14,6,40,33,15,40,34,13,34
W10,12,3,15,9,12,2,6,9,16,32,9,6,12,11,40,43,40,24,44,9,14,10,8,45,46,17,48,38,19,47
W11,15,3,10,5,19,2,3,9,16,23,11,7,13,18,43,31,38,39,36,10,11,19,8,36,42,8,40,45,7,43
W12,17,7,5,6,9,6,4,16,17,24,11,6,12,15,44,44,34,39,31,9,16,6,6,54,36,16,36,38,15,42
W13,10,3,8,5,5,5,5,10,11,20,13,1,14,15,43,44,53,42,34,11,13,9,5,53,40,9,48,28,13,43
W14,10,1,13,16,14,4,6,6,10,16,11,5,11,26,44,55,30,44,41,11,9,13,7,44,33,19,30,37,12,38
W15,10,7,9,8,9,6,4,12,10,20,17,1,9,19,52,49,46,28,46,14,13,7,7,46,37,9,46,39,11,39
W16,15,3,8,12,11,4,8,11,14,23,14,8,10,14,41,35,35,39,49,12,13,18,7,42,32,12,53,25,20,41
W17,10,8,12,10,16,6,11,8,9,24,11,2,11,23,45,37,44,32,36,11,10,10,9,43,33,13,39,37,26,36
W18,4,8,11,16,7,11,1,14,11,21,14,6,10,13,31,45,41,44,31,8,13,11,5,44,49,10,52,31,10,30
W19,13,10,8,5,14,9,4,10,19,34,14,6,9,22,40,44,51,33,30,9,9,7,5,27,27,16,39,33,18,32
W20,6,5,8,7,12,5,8,13,19,17,19,4,8,16,40,45,30,36,40,9,10,10,4,36,35,17,42,30,13,44
W21,12,8,14,8,7,10,6,12,18,24,13,8,6,18,37,29,37,39,42,9,14,18,4,30,31,21,22,41,16,30
W22,8,3,12,12,11,8,2,6,11,24,16,5,13,12,33,36,33,49,31,10,11,11,4,49,37,8,34,42,17,40
W23,13,5,9,8,10,6,6,12,17,17,10,5,11,16,40,30,29,39,35,8,8,10,5,25,32,11,34,37,12,36
W24,6,6,11,10,9,5,8,12,15,26,9,6,11,13,31,44,36,31,29,11,10,10,10,34,35,13,26,34,15,36
W25,10,4,9,7,13,3,6,13,11,28,6,7,6,18,23,31,31,22,23,9,5,2,5,35,20,10,28,23,16,21
W26,8,6,15,11,9,2,3,4,5,13,12,5,13,12,26,28,23,21,32,9,12,5,7,24,20,10,33,29,5,17
W27,11,9,6,11,10,4,5,11,8,16,9,1,8,6,35,31,24,23,30,10,4,5,6,25,28,10,43,24,14,30
W28,6,6,4,3,14,3,4,13,8,16,10,5,9,8,29,30,21,25,31,9,4,11,5,27,29,6,27,36,13,39
W29,12,6,14,7,4,5,2,10,11,12,11,5,1,8,30,36,18,24,35,10,4,10,4,29,33,9,34,37,11,29
