Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFRATEL,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MM,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
2012-12-28,134.24,4392.5,1359.68,2138.95,909.86,1349.75,319.63,356.82,494.25,418.69,353.64,1828.17,2788.42,350.78,3161.52,627.96,833.69,678.47,1893.99,130.85,521.43,1138.64,418.96,195.06,2317.42,268.5,289.7,815.94,652.04,1621.04,928.79,1505.17,4970.62,157.57,266.43,114.55,836.03,2380.64,4526.1,741.82,311.21,430.96,1262.76,920.5,281.32,1970.14,128.91,195.17,391.58,222.08
2012-12-31,135.53,4423.23,1362.21,2137.15,910.02,1358.59,318.83,354.22,498.43,415.57,355.46,1829.02,2885.79,355.38,3167.36,620.94,830.3,677.84,1904.0,131.62,524.83,1139.5,418.69,194.51,2316.72,269.89,287.95,816.17,651.05,1611.85,930.28,1500.29,4994.86,157.65,268.58,115.24,842.78,2387.5,4600.63,736.96,313.35,430.35,1258.2,928.54,284.07,1999.62,132.26,196.88,397.54,221.69
2013-01-01,138.01,4430.15,1366.4,2133.75,912.17,1367.88,322.47,357.27,501.89,418.84,360.56,1834.21,2910.15,359.15,3199.56,624.49,836.76,683.68,1900.51,134.49,531.01,1153.62,424.58,198.64,2319.02,267.67,288.56,827.08,651.54,1627.2,941.62,1509.57,4979.48,156.84,268.35,115.15,843.74,2424.75,4643.24,742.57,317.3,437.73,1265.08,934.84,287.81,2010.77,133.18,199.3,396.54,224.38
2013-01-02,139.73,4401.43,1386.25,2187.34,918.26,1360.04,324.4,365.26,502.52,422.49,359.88,1843.06,2873.37,364.38,3214.34,625.03,846.62,687.96,1913.53,137.12,531.11,1172.65,434.44,201.96,2316.36,271.09,287.36,835.98,658.42,1648.15,939.17,1548.7,4979.81,158.44,272.82,114.78,850.46,2454.53,4608.06,742.53,319.12,442.05,1265.24,938.86,290.04,2035.9,133.14,203.68,395.51,230.07
2013-01-03,139.4,4394.69,1391.26,2218.25,920.02,1387.62,326.41,368.1,511.2,419.47,361.49,1881.4,2878.86,365.22,3186.88,627.84,846.17,685.7,1901.0,135.52,532.21,1171.66,435.21,205.11,2330.97,271.94,284.8,832.44,658.5,1644.04,937.34,1549.43,4921.96,158.85,278.66,114.89,856.58,2466.12,4602.72,735.75,320.06,443.04,1277.67,946.16,284.18,2031.9,136.39,205.21,397.47,233.36
2013-01-04,137.34,4399.21,1379.26,2204.19,926.62,1398.28,328.54,376.53,511.45,418.02,363.5,1888.97,2835.96,367.88,3174.6,634.71,835.66,677.86,1883.78,133.2,533.81,1175.66,431.98,208.22,2346.09,284.82,282.66,826.69,650.9,1628.4,938.32,1550.4,4893.43,159.51,286.72,115.61,861.42,2476.69,4605.5,733.51,315.95,435.01,1293.63,938.56,284.32,2028.46,137.19,201.86,404.16,228.59
2013-01-07,140.79,4396.16,1375.9,2204.79,925.39,1396.11,330.19,388.1,506.98,425.4,361.53,1895.48,2845.97,370.15,3185.03,632.12,826.52,672.03,1901.32,135.55,528.88,1183.47,435.07,208.99,2368.82,286.46,282.44,850.02,651.15,1601.26,953.99,1589.96,4889.2,158.71,289.3,115.16,861.91,2482.24,4578.49,745.02,316.4,440.6,1297.12,934.52,285.63,2031.72,139.23,203.5,407.38,226.07
2013-01-08,138.39,4386.95,1357.34,2203.03,916.12,1383.55,329.96,382.05,501.97,429.88,360.17,1908.98,2807.6,364.81,3179.61,633.69,833.13,670.34,1883.33,133.61,523.72,1176.99,434.88,207.18,2341.13,282.5,284.33,845.33,648.72,1567.1,959.53,1579.35,4903.89,158.03,288.15,116.43,853.15,2483.97,4544.59,756.06,315.39,434.79,1300.83,922.69,275.1,2021.08,138.25,200.7,401.27,225.27
2013-01-09,137.44,4378.24,1351.11,2179.68,918.69,1378.37,335.23,383.94,505.58,432.79,366.92,1915.16,2801.02,371.05,3174.45,639.97,833.47,670.96,1865.14,134.58,524.18,1182.27,437.51,206.71,2341.84,286.4,282.42,847.39,654.08,1567.71,969.01,1581.75,4949.02,157.7,292.04,116.94,855.64,2519.75,4517.87,762.5,328.2,428.54,1285.34,938.44,270.2,1983.62,138.07,199.75,397.64,226.41
2013-01-10,136.65,4376.9,1359.06,2149.66,913.92,1407.68,331.26,388.09,502.17,428.3,369.79,1911.68,2814.1,373.23,3127.39,646.59,827.49,674.9,1855.63,131.95,517.29,1173.55,442.32,205.98,2321.95,291.96,281.35,851.01,656.38,1545.57,964.04,1579.9,4906.85,155.61,300.66,115.44,852.17,2541.26,4465.73,756.02,335.26,423.05,1266.53,971.18,269.23,1906.91,138.69,196.04,401.58,227.23
