Date,2012-12-28,2013-02-15,2013-04-09,2013-05-30,2013-07-18,2013-09-10,2013-10-31,2013-12-20,2014-02-10,2014-04-01,2014-05-27,2014-07-15,2014-09-05,2014-10-31,2014-12-23,2015-02-12,2015-04-07,2015-05-28,2015-07-16,2015-09-03,2015-10-28,2015-12-18,2016-02-09,2016-04-01,2016-05-25,2016-07-14,2016-09-02,2016-10-27,2016-12-16,2017-02-06
ADANIPORTS,134.24,148.1,146.95,155.34,148.77,129.89,145.98,164.79,148.55,187.74,216.78,261.55,291.16,283.46,292.69,335.91,322.59,330.49,326.86,341.11,304.42,260.16,211.42,243.94,183.57,218.87,267.48,304.18,281.89,308.26
ASIANPAINT,4392.5,4548.99,4579.47,4888.06,5137.59,441.68,538.16,488.88,489.17,536.34,525.06,584.35,645.35,656.87,741.42,831.58,831.5,767.23,849.39,823.35,831.34,877.11,886.69,874.31,976.14,1020.15,1166.41,1091.37,903.92,997.77
AXISBANK,1359.68,1437.9,1219.62,1438.71,1199.43,1005.73,1216.33,1271.7,1128.22,1466.34,1846.22,1879.54,417.31,438.31,501.19,572.47,562.78,577.83,605.5,481.11,487.44,436.48,403.13,448.47,501.17,559.89,598.89,485.35,474.46,497.6
BAJAJ-AUTO,2138.95,1974.1,1703.31,1831.27,1904.27,1972.59,2134.74,1910.14,1930.26,2062.49,1970.75,2157.82,2321.94,2599.82,2509.94,2272.26,2082.79,2302.01,2549.32,2245.14,2572.95,2480.1,2364.87,2406.79,2456.87,2662.92,2978.79,2782.62,2663.42,2803.34
BAJAJFINSV,909.86,757.65,757.86,669.87,636.55,589.33,636.09,719.72,685.88,792.03,908.9,928.23,1106.36,1073.65,1323.47,1477.27,1438.3,1545.38,1761.6,1838.68,1982.26,1941.86,1786.55,1744.58,1794.95,2401.38,3073.14,3270.41,2800.67,3644.23
BAJFINANCE,1349.75,1287.25,1162.92,1470.24,1382.3,1144.89,1331.51,1490.12,1488.64,1782.39,2005.75,2197.35,2436.55,2805.94,3436.39,4122.07,4257.33,4403.6,5246.36,5192.44,5233.8,5809.81,6520.98,6899.85,7346.56,8651.48,11182.3,1127.22,856.29,1072.55
BHARTIARTL,319.63,312.39,277.83,313.36,322.26,331.65,366.72,324.66,310.69,316.79,336.2,333.96,401.9,402.13,355.86,352.48,401.68,404.82,424.94,347.7,358.71,320.74,312.68,337.75,351.73,367.06,315.14,322.0,313.27,355.78
BPCL,356.82,381.28,378.84,382.03,345.18,298.84,361.69,340.27,355.42,453.16,552.06,577.49,692.48,719.16,656.14,711.83,796.18,813.73,936.81,842.17,911.77,906.53,832.88,890.51,904.5,552.77,586.99,674.67,610.93,706.81
BRITANNIA,494.25,489.09,521.21,694.96,711.82,740.95,944.88,884.71,912.28,844.48,853.82,994.59,1267.08,1528.04,1789.36,1951.42,2264.63,2643.97,2844.45,3042.96,3193.66,2916.23,2825.73,2691.45,2728.36,2878.44,3385.03,3231.14,2916.1,3270.99
CIPLA,418.69,380.29,397.18,389.3,414.35,442.93,415.25,402.86,420.16,383.12,380.95,431.68,554.67,659.71,624.1,655.5,732.06,647.14,674.84,659.19,689.5,645.25,557.43,515.72,469.25,512.14,576.59,583.39,566.21,609.76
COALINDIA,353.64,349.05,310.8,327.61,290.3,287.56,287.28,284.66,270.87,285.95,396.15,364.13,372.38,369.08,386.49,369.7,360.7,384.16,439.97,345.79,330.89,317.36,313.12,289.44,281.25,325.93,333.5,317.72,289.61,325.58
