Date,2012-12-28,2013-02-15,2013-04-09,2013-05-30,2013-07-18,2013-09-10,2013-10-31,2013-12-20,2014-02-10,2014-04-01,2014-05-27,2014-07-15,2014-09-05,2014-10-31,2014-12-23,2015-02-12,2015-04-07,2015-05-28,2015-07-16,2015-09-03
ADANIPORTS,134.24,148.1,146.95,155.34,148.77,129.89,145.98,164.79,148.55,187.74,216.78,261.55,291.16,283.46,292.69,335.91,322.59,330.49,326.86,341.11
ASIANPAINT,4392.5,4548.99,4579.47,4888.06,5137.59,441.68,538.16,488.88,489.17,536.34,525.06,584.35,645.35,656.87,741.42,831.58,831.5,767.23,849.39,823.35
AXISBANK,1359.68,1437.9,1219.62,1438.71,1199.43,1005.73,1216.33,1271.7,1128.22,1466.34,1846.22,1879.54,417.31,438.31,501.19,572.47,562.78,577.83,605.5,481.11
BAJAJ-AUTO,2138.95,1974.1,1703.31,1831.27,1904.27,1972.59,2134.74,1910.14,1930.26,2062.49,1970.75,2157.82,2321.94,2599.82,2509.94,2272.26,2082.79,2302.01,2549.32,2245.14
BAJAJFINSV,909.86,757.65,757.86,669.87,636.55,589.33,636.09,719.72,685.88,792.03,908.9,928.23,1106.36,1073.65,1323.47,1477.27,1438.3,1545.38,1761.6,1838.68
BAJFINANCE,1349.75,1287.25,1162.92,1470.24,1382.3,1144.89,1331.51,1490.12,1488.64,1782.39,2005.75,2197.35,2436.55,2805.94,3436.39,4122.07,4257.33,4403.6,5246.36,5192.44
BHARTIARTL,319.63,312.39,277.83,313.36,322.26,331.65,366.72,324.66,310.69,316.79,336.2,333.96,401.9,402.13,355.86,352.48,401.68,404.82,424.94,347.7
BPCL,356.82,381.28,378.84,382.03,345.18,298.84,361.69,340.27,355.42,453.16,552.06,577.49,692.48,719.16,656.14,711.83,796.18,813.73,936.81,842.17
BRITANNIA,494.25,489.09,521.21,694.96,711.82,740.95,944.88,884.71,912.28,844.48,853.82,994.59,1267.08,1528.04,1789.36,1951.42,2264.63,2643.97,2844.45,3042.96
CIPLA,418.69,380.29,397.18,389.3,414.35,442.93,415.25,402.86,420.16,383.12,380.95,431.68,554.67,659.71,624.1,655.5,732.06,647.14,674.84,659.19
COALINDIA,353.64,349.05,310.8,327.61,290.3,287.56,287.28,284.66,270.87,285.95,396.15,364.13,372.38,369.08,386.49,369.7,360.7,384.16,439.97,345.79
DRREDDY,1828.17,1830.72,1918.93,2110.08,2340.53,2270.32,2484.94,2485.53,2670.87,2590.24,2313.14,2641.8,2978.99,3136.92,3218.03,3283.3,3675.99,3534.92,3842.53,4219.42
EICHERMOT,2788.42,2667.96,2715.65,3775.81,3921.23,3297.92,3953.0,5036.85,4453.53,6016.75,7127.05,8388.11,10925.73,12751.5,14798.19,16364.56,15872.64,18038.69,21009.76,18461.26
GAIL,350.78,337.12,318.07,321.17,325.59,302.69,350.89,339.77,351.74,375.68,383.46,462.04,453.3,534.96,447.95,417.44,402.04,380.82,373.91,293.56
GRASIM,3161.52,3045.97,2757.13,2927.55,2794.23,2426.09,2814.21,2619.51,2564.18,2867.98,3090.06,3219.26,3583.65,3488.11,3467.11,3842.28,3733.78,3518.51,3676.8,3415.87
HCLTECH,627.96,697.72,750.17,745.96,862.69,1057.22,1099.21,1243.44,1416.62,1418.47,1398.74,1462.1,1664.87,1609.92,1555.7,1978.32,941.52,976.22,955.46,958.96
HDFC,833.69,815.37,766.2,924.21,822.44,807.78,853.07,791.75,772.76,880.86,919.2,979.91,1060.25,1098.3,1142.58,1250.26,1327.31,1223.99,1360.78,1161.1
HDFCBANK,678.47,678.64,623.67,723.38,670.96,634.17,680.37,659.53,644.35,740.97,801.46,823.93,849.55,911.13,965.96,1065.91,1031.58,1030.66,1111.59,1009.12
HEROMOTOCO,1893.99,1663.81,1481.87,1764.38,1703.55,2029.04,2077.93,2118.51,1999.9,2257.36,2312.7,2425.82,2779.69,3076.12,3138.34,2800.96,2636.87,2628.56,2653.33,2336.35
HINDALCO,130.85,111.07,92.66,109.04,105.41,110.07,115.25,120.4,108.06,139.2,148.87,173.7,170.4,163.59,154.34,153.03,136.92,132.79,106.93,77.64
HINDUNILVR,521.43,464.43,475.34,596.06,691.93,645.58,610.31,564.83,567.33,601.09,561.04,621.9,736.98,734.01,767.06,895.64,910.65,850.36,932.98,829.91
ICICIBANK,1138.64,1122.13,1002.23,1184.75,972.99,973.5,1108.95,1080.73,964.01,1232.68,1442.05,1382.37,1554.67,1618.09,357.66,335.11,319.25,314.86,317.71,268.29
INDUSINDBK,418.96,439.08,396.6,525.09,462.21,420.53,446.91,424.53,389.33,499.46,552.52,539.65,613.95,716.51,784.65,859.1,909.62,858.21,930.93,841.37
INFRATEL,195.06,187.69,178.62,170.79,156.47,147.08,159.86,176.84,167.15,204.87,234.49,264.42,282.06,293.5,338.37,358.17,383.0,432.92,453.52,407.69
INFY,2317.42,2792.6,2790.08,2338.54,2798.55,3114.0,3314.49,3541.24,3573.73,3310.76,3140.41,3231.17,3740.46,4030.31,1989.42,2302.63,2161.92,2001.26,988.36,1101.92
