Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFRATEL,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MM,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
2000-01-03,,380.54,26.7,,,50.05,,399.32,741.01,1441.36,,1508.21,48.75,67.91,432.24,,293.5,169.52,1209.11,869.86,2307.08,73.2,28.69,,15625.18,258.55,701.81,,229.13,,453.18,,,,209.91,,249.37,240.83,65.13,1825.9,214.28,150.92,,,154.36,,,114.8,2724.17,1177.03
2000-01-04,,383.5,27.24,,,48.56,,375.71,742.52,1460.43,,1579.29,51.44,67.29,428.27,,303.62,174.99,1200.93,903.51,2298.15,73.38,29.12,,16646.38,259.8,714.16,,244.12,,489.65,,,,206.26,,263.52,251.46,60.7,1805.97,209.5,151.03,,,146.72,,,113.34,2942.15,1228.02
2000-01-05,,379.81,26.24,,,45.47,,359.96,739.92,1428.11,,1594.99,53.99,65.24,436.1,,294.53,169.2,1159.74,949.32,2211.17,70.85,28.72,,15786.38,260.66,732.43,,233.75,,521.37,,,,215.46,,274.79,252.35,60.03,1766.69,210.33,156.85,,,142.95,,,112.78,3063.86,1238.35
2000-01-06,,379.88,26.27,,,44.43,,380.1,788.83,1390.55,,1632.11,59.75,65.55,474.68,,300.14,168.44,1167.29,1047.08,2301.8,72.04,28.55,,14462.82,259.81,776.63,,226.84,,538.27,,,,223.42,,295.45,262.18,60.52,1749.32,225.29,167.61,,,147.87,,,119.89,2962.41,1135.04
2000-01-07,,383.38,25.04,,,44.44,,378.33,827.53,1267.49,,1585.24,64.08,63.76,512.61,,288.8,166.79,1103.52,1085.24,2380.24,68.72,27.09,,13125.5,260.11,841.25,,209.94,,508.09,,,,215.19,,308.91,269.02,60.21,1621.51,236.32,173.89,,,148.63,,,116.84,2697.95,1029.94
2000-01-10,,414.97,25.29,,,42.47,,387.76,905.42,1222.23,,1503.84,64.22,62.81,505.41,,289.42,167.79,1123.41,1040.73,2464.07,69.78,27.68,,13270.6,254.0,907.23,,196.47,,509.86,,,,208.14,,312.35,279.79,57.5,1581.78,257.2,180.32,,,145.28,,,118.69,2740.88,980.49
2000-01-11,,412.51,23.9,,,40.25,,371.95,858.02,1156.31,,1449.71,61.55,60.79,479.9,1582.72,284.54,161.4,1106.96,1016.35,2460.27,68.89,26.52,,12885.28,245.63,908.61,,176.98,,527.14,,,,203.75,,296.4,254.66,54.66,1519.06,246.63,170.99,,,142.34,,,116.3,2543.38,995.97
2000-01-12,,421.46,23.97,,,39.8,,376.3,885.18,1202.76,,1496.5,64.16,61.25,456.26,1657.05,287.6,163.89,1174.81,987.17,2579.17,74.35,26.93,,12873.99,258.95,891.48,,163.34,,515.33,,,,205.03,,294.57,243.71,54.49,1442.89,237.13,165.39,,,151.23,,,115.73,2543.75,1068.99
2000-01-13,,422.4,23.77,,,39.37,,375.05,898.96,1298.53,,1511.43,63.42,61.88,460.77,1804.69,285.84,165.26,1172.03,1001.73,2804.4,80.43,27.07,,12529.38,275.96,908.42,,163.83,,500.01,,,,200.19,,311.79,250.04,53.55,1440.53,237.31,163.0,,,154.34,,,114.9,2539.63,1050.57
2000-01-14,,410.05,23.17,,,39.72,,379.33,873.91,1275.38,,1458.08,61.82,61.34,432.61,1939.9,283.6,164.68,1182.32,954.46,2706.88,78.15,26.04,,11896.77,274.03,883.15,,161.69,,510.06,,,,195.29,,316.17,240.55,52.89,1516.88,239.04,158.87,,,144.56,,,112.94,2470.43,1007.74
2000-01-17,,413.72,25.09,,,39.84,,377.91,881.0,1292.22,,1533.26,66.09,63.79,446.62,1990.55,302.87,177.96,1281.19,933.01,2609.45,85.32,28.05,,12210.99,269.7,839.35,,157.22,,554.58,,,,194.4,,315.77,240.22,55.13,1678.31,252.65,168.19,,,144.02,,,116.01,2671.72,1036.05
2000-01-18,,413.76,24.94,,,39.2,,380.39,880.59,1227.43,,1450.67,64.22,65.33,441.85,1716.39,308.57,168.86,1295.57,912.05,2569.03,84.69,28.75,,11818.44,260.12,816.85,,151.56,,567.55,,,,189.08,,312.14,237.59,53.9,1664.08,248.46,169.43,,,139.23,,,114.16,2688.05,1021.41
