Unnamed: 0,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29
P1,12,13,11,9,14,13,15,22,7,15,12,15,17,10,10,10,15,10,4,13,6,12,8,13,6,10,8,11,6,12
P2,8,7,4,3,8,2,7,4,4,4,3,3,7,3,1,7,3,8,8,10,5,8,3,5,6,4,6,9,6,6
P3,8,12,9,10,11,9,8,14,13,7,15,10,5,8,13,9,8,12,11,8,8,14,12,9,11,9,15,6,4,14
P4,13,9,14,6,10,7,10,14,14,12,9,5,6,5,16,8,12,10,16,5,7,8,12,8,10,7,11,11,3,7
P5,9,6,14,12,7,8,10,15,10,10,12,19,9,5,14,9,11,16,7,14,12,7,11,10,9,13,9,10,14,4
P6,4,4,3,8,7,4,9,7,7,4,2,2,6,5,4,6,4,6,11,9,5,10,8,6,5,3,2,4,3,5
P7,5,9,4,8,9,8,3,4,11,4,6,3,4,5,6,4,8,11,1,4,8,6,2,6,8,6,3,5,4,2
P8,9,7,11,10,7,9,8,6,11,11,9,9,16,10,6,12,11,8,14,10,13,12,6,12,12,13,4,11,13,10
P9,15,10,11,8,12,16,13,8,14,13,16,16,17,11,10,10,14,9,11,19,19,18,11,17,15,11,5,8,8,11
P10,23,20,20,30,21,17,27,21,25,21,32,23,24,20,16,20,23,24,21,34,17,24,24,17,26,28,13,16,16,12
P11,16,8,16,15,18,8,11,17,12,9,9,11,11,13,11,17,14,11,14,14,19,13,16,10,9,6,12,9,10,11
P12,4,5,2,7,5,4,8,4,6,4,6,7,6,1,5,1,8,2,6,6,4,8,5,5,6,7,5,1,5,5
P13,13,11,10,7,11,12,19,9,11,18,12,13,12,14,11,9,10,11,10,9,8,6,13,11,11,6,13,8,9,1
P14,15,13,10,12,14,13,9,13,14,11,11,18,15,15,26,19,14,23,13,22,16,18,12,16,13,18,12,6,8,8
P15,20,46,48,43,30,45,44,37,26,53,40,43,44,43,44,52,41,45,31,40,40,37,33,40,31,23,26,35,29,30
P16,31,28,28,44,30,33,50,42,50,39,43,31,44,44,55,49,35,37,45,44,45,29,36,30,44,31,28,31,30,36
P17,50,41,41,29,41,48,45,46,40,34,40,38,34,53,30,46,35,44,41,51,30,37,33,29,36,31,23,24,21,18
P18,41,39,40,39,40,34,29,45,37,37,24,39,39,42,44,28,39,32,44,33,36,39,49,39,31,22,21,23,25,24
P19,27,32,46,37,32,29,29,35,43,41,44,36,31,34,41,46,49,36,31,30,40,42,31,35,29,23,32,30,31,35
P20,14,18,12,11,8,12,18,9,13,11,9,10,9,11,11,14,12,11,8,9,9,9,10,8,11,9,9,10,9,10
P21,13,6,10,9,10,7,11,14,7,13,14,11,16,13,9,13,13,10,13,9,10,14,11,8,10,5,12,4,4,4
P22,9,15,9,10,18,7,18,16,12,14,10,19,6,9,13,7,18,10,11,7,10,18,11,10,10,2,5,5,11,10
P23,4,6,5,4,4,3,6,5,6,6,8,8,6,5,7,7,7,9,5,5,4,4,4,5,10,5,7,6,5,4
P24,37,43,28,34,41,49,39,40,42,40,45,36,54,53,44,46,42,43,44,27,36,30,49,25,34,35,24,25,27,29
P25,27,29,34,33,21,34,43,30,25,33,46,42,36,40,33,37,32,33,49,27,35,31,37,32,35,20,20,28,29,33
P26,15,15,10,9,10,8,10,12,11,15,17,8,16,9,19,9,12,13,10,16,17,21,8,11,13,10,10,10,6,9
P27,45,35,34,40,35,31,48,28,46,40,48,40,36,48,30,46,53,39,52,39,42,22,34,34,26,28,33,43,27,34
P28,35,33,37,42,32,32,33,30,44,34,38,45,38,28,37,39,25,37,31,33,30,41,42,37,34,23,29,24,36,37
P29,14,11,13,18,18,12,16,17,11,13,19,7,15,13,12,11,20,26,10,18,13,16,17,12,15,16,5,14,13,11
P30,47,37,46,35,36,37,44,29,27,34,47,43,42,43,38,39,41,36,30,32,44,30,40,36,36,21,17,30,39,29
